lat	lon	title	description	iconSize	iconOffset	icon
37.361500	-121.994003	Our House	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.429600	-121.977997	Alviso Marina	desc	21,25	-10,-25	./img/icons/Black_Camera.png
36.272701	-121.842003	Andrew Molera	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.426701	-122.139000	Arastradero Preserve	desc	21,25	-10,-25	./img/icons/Black_Camera.png
40.857800	-124.088997	Arcata Marsh	desc	21,25	-10,-25	./img/icons/Black_Camera.png
36.270302	-121.806000	Big Sur	desc	21,25	-10,-25	./img/icons/Black_Camera.png
38.273602	-123.004997	Bodega Bay	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.928001	-122.689003	Bolinas Lagoon	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.201599	-121.828003	Calero Reservoir	desc	21,25	-10,-25	./img/icons/Black_Camera.png
38.935001	-74.906403	Cape May	desc	21,25	-10,-25	./img/icons/Black_Camera.png
36.536098	-121.927002	Carmel River	desc	21,25	-10,-25	./img/icons/Black_Camera.png
40.112999	-88.264900	Rural Areas of Champaign County	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.434776	-122.099060	Charleston Slough	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.830002	-121.556000	Clifton Court Forebay	desc	21,25	-10,-25	./img/icons/Black_Camera.png
36.594700	-121.880997	Coast Guard Pier	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.420200	-121.987999	Coyote Creek Field Station	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.550598	-122.085999	Coyote Hills Regional Park	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.567001	-122.366997	Coyote Point Marina	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.432701	-121.961998	Don Edwards Center	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.466400	-121.973999	Drawbridge	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.455715	-121.864311	Ed Levin County Park Sandy Wool	desc	21,25	-10,-25	./img/icons/Black_Camera.png
36.804401	-121.786003	Elkhorn Slough	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.733299	-123.032997	Farallon Islands	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.542400	-122.228996	Foster City Radio Tower	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.785702	-122.420998	Golden Gate Park	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.340801	-121.721001	Grant Ranch County Park	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.830502	-122.480003	Hawk Hill	desc	21,25	-10,-25	./img/icons/Black_Camera.png
40.666698	-123.917000	Rural Areas of Humboldt County	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.725601	-122.498001	Lake Merced	desc	21,25	-10,-25	./img/icons/Black_Camera.png
42.187599	-122.685997	Lithia Park	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.245800	-121.871002	Los Alamitos Water Recharge Pond	desc	21,25	-10,-25	./img/icons/Black_Camera.png
43.265800	-118.843002	Malheur NWR	desc	21,25	-10,-25	./img/icons/Black_Camera.png
37.313900	-122.061996	McClellan Ranch	desc	21,25	-10,-25	./img/icons/Black_Camera.png
